id;name;description;owner_name;x;y;poligono_id
1;sleepily;searchingly;liquid curry;22414.2;30534.57;1
2;chime;notwithstanding;usefully;22126.04;491.36;2
3;super;permafrost unto;eek worth um;313.74;21090.79;3
4;abaft inasmuch fortunately;patiently;search;10802.75;18459;4
5;sternly;flint uh-huh;vainly ugh;23898.56;26542.75;5
6;drowse yippee whenever;but card;bell cutover;8482.28;27678.49;6
7;regal;second-hand ugh;translation;11303.92;23510.67;7
8;shush poetry;so absent meanwhile;instead quarrel supposing;27764.53;25202.94;8
9;after;proselytise resolve;ew;32282.37;12510.9;9
10;ajar unless after;consequently meh;than crossly;10477.22;13890.47;10
